Zip Code,Violent Crime (1-100),Property Crime,,,
10001,53.9,65.7,,,6AM7.112.37AM25.914.88AM39.421.49AM35.323.610AM39.228.411AM50.532.612PM62.638.81PM55.036.02PM78.139.23PM92.943.74PM71.547.55PM61.751.56PM62.655.37PM60.857.68PM60.963.09PM52.265.310PM42.766.211PM31.163.012AM23.961.01AM16.759.02AM11.751.13AM9.033.64AM5.321.15AM3.814.06AM7.112.3
10002,53.5,76.3,,,
10003,45.3,62.2,,,
10004,52,75.2,,,
10005,55.7,83,,,
10006,53.5,83.5,,,
10007,46.5,73.8,,,
10009,63.3,84.4,,,
10010,46.6,69,,,
10011,48,60.3,,,
10012,47.5,71.5,,,
10013,42.1,67.1,,,
10014,48.4,66,,,
10016,46.3,67.3,,,
10017,41.6,58.5,,,
10018,54.9,73.2,,,
10019,53.1,73,,,
10020,44.1,73.3,,,
10021,39,58.6,,,
10022,35.8,52.3,,,
10023,43.1,58.8,,,
10024,44.2,65.1,,,
10025,52.2,68.8,,,
10026,80.7,78.4,,,
10027,78,81.3,,,
10028,41.2,63.7,,,
10029,82.8,89.3,,,
10030,90.5,84.8,,,
10031,76,83.6,,,
10032,72.2,85.6,,,
10033,65.8,81.8,,,
10034,74,87.4,,,
10035,89.5,86.9,,,
10036,60.4,78.7,,,
10037,89,90,,,
10038,51.1,68.1,,,
10039,91.9,88.3,,,
10040,73.3,86.7,,,
10044,61,88.6,,,
10065,40.9,63.8,,,
10069,53.1,79.5,,,
10075,40.1,57.1,,,
10111,35.8,77.1,,,
10115,45.3,89.7,,,
10128,45.9,65.9,,,
10280,47.3,64.7,,,
10282,58.6,93.6,,,
11201,49.8,57.6,,,
11203,62.2,61.3,,,
11204,37.7,61.5,,,
11205,66.8,69.8,,,
11206,78.1,86.3,,,
11207,88.3,77.7,,,
11208,80.9,76,,,
11209,42.1,61.8,,,
11210,52.3,58.6,,,
11211,53.1,76.1,,,
11212,92.7,87.1,,,
11213,79.7,81.2,,,
11214,42.2,63.7,,,
11215,44.6,60,,,
11216,81.8,79.6,,,
11217,57.6,67.5,,,
11218,44.6,64.4,,,
11219,39.1,67.5,,,
11220,51.6,69.7,,,
11221,85.1,79.3,,,
11222,46.7,72.3,,,
11223,41.7,61.6,,,
11224,58,67.5,,,
11225,72,81.5,,,
11226,77.6,85.3,,,
11228,34.4,48.1,,,
11229,38.9,53.9,,,
11230,39.8,63.5,,,
11231,61.8,73.5,,,
11232,61.5,73.2,,,
11233,93.3,82.2,,,
11234,40.4,38.5,,,
11235,38.3,56.4,,,
11236,63.1,57.4,,,
11237,77.7,86.8,,,
11238,62.9,69.6,,,
11239,83.5,92.3,,,
11001,19.8,20.8,,,
11004,20.6,24.5,,,
11005,21.5,24.3,,,
11040,12.7,12.5,,,
11096,52.8,53.6,,,
11101,66.6,77.4,,,
11102,55.1,77.6,,,
11103,48.1,75.5,,,
11104,47.1,74.2,,,
11105,42.4,66.9,,,
11106,53.7,75.7,,,
11109,45.5,78.3,,,
11354,37.4,54.6,,,
11355,38.7,60.3,,,
11356,42,51.5,,,
11357,22.4,26.3,,,
11358,28.8,41,,,
11359,40.4,71.7,,,
11360,24.5,29.7,,,
11361,31.9,42.3,,,
11362,18.6,19.7,,,
11363,23.5,31.1,,,
11364,23.9,28,,,
11365,35.8,52.7,,,
11366,22,28.1,,,
11367,41.5,52.6,,,
11368,62.7,75.6,,,
11369,53,52.1,,,
11371,45,53.7,,,
11372,47.1,60.2,,,
11373,47.1,66.5,,,
11374,36.1,53.1,,,
11375,33.4,47.5,,,
11377,45.9,63.7,,,
11378,38.9,48.6,,,
11379,33.1,43.7,,,
11385,54.4,68.6,,,
11411,33.2,19.8,,,
11412,50.3,32.5,,,
11413,49.1,35,,,
11414,27,27.8,,,
11415,42.8,58.4,,,
11416,54,60.7,,,
11417,41.9,47.1,,,
11418,50.2,58.9,,,
11419,41.8,49.3,,,
11420,41.3,38.7,,,
11421,48.8,51.8,,,
11422,49.8,39.3,,,
11423,43.3,42.9,,,
11426,25.6,28.4,,,
11427,33.7,37.9,,,
11428,31.7,31.6,,,
11429,45.2,34.7,,,
11430,27.2,22.8,,,
11432,43.3,56.4,,,
11433,71.1,59.4,,,
11434,62.6,53.7,,,
11435,52,60.8,,,
11436,54.9,38.7,,,
11451,35.7,78,,,
11691,78,76.6,,,
11692,87.7,74.3,,,
11694,41.7,50.3,,,
11697,22.4,20.7,,,
10451,90.8,85.3,,,
10452,93.6,92.5,,,
10453,97.8,92.3,,,
10454,97.6,91.5,,,
10455,94,91.1,,,
10456,97.6,91.4,,,
10457,97.6,91.7,,,
10458,93.8,92.2,,,
10459,97.4,90.3,,,
10460,97.4,90.8,,,
10461,57.8,66.8,,,
10462,71.5,76.3,,,
10465,48.8,48.4,,,
10466,77.1,68.5,,,
10467,86.7,87.4,,,
10468,90,90.1,,,
10469,63.3,56.5,,,
10470,61.3,65.4,,,
10471,41.4,46.8,,,
10472,85.2,84.2,,,
10473,79.4,75,,,
10474,97,88.9,,,
10475,55,49.5,,,
10301,56.1,57.2,,,
10302,50.2,49.3,,,
10303,61.2,51.3,,,
10304,57.7,53.5,,,
10305,35.8,40.7,,,
10306,29.3,33.7,,,
10307,28.5,34.9,,,
10308,23.1,26.2,,,
10309,26,29.4,,,
10310,50.9,47.5,,,
10312,22.2,24.6,,,
10314,28.5,33.1,,,
